name,code
Avocat,22
Banane,27
Citron jaune,102
Clémentine,114
Fruit de la passion,28
Kaki,291
Kiwi,29
Mandarine,117
Mangue,34
Melon,82
Melon Galia,85
Melon Jaune,86
Melon Vert,87
Mini pastèque,88
Nectarine Blanche,90
Nectarine Jaune,91
Noix de coco,37
Noix sèches,129
Orange,124
Pastèque,92
Pastèque Box,93
Pèche Jaune,96
Pèche plate,296
Poire ronde,42
Pomelo,125
Pomelo Exotique,127
Pomme Bicolore,48
Pomme Golden,50
Pomme Granny,274
Prune Jaune,83
Raisin blanc,106
Raisin noir,107
Raisin rosé,108
Artichaud,150
Aubergine,61
Butternut,172
Carotte,260
Celeri Branche,349
Celeri rave,175
Chou,176
Chou chinois,67
Chou doux,247
Chou fleur,177
Chou vert,178
Concombre,164
Concombre NOA,165
Courge Spaghetti,15
Fenouil,156
Gingembre,38
Panais,103
Patate Douce,36
Poivron Corne,358
Potimarron,184
Radis botte,163
Salade Batavia,151
Salade Laitue,159
Tomate Alongée,189
Tomate Cotelée colorée,182
Tomate cotelée rouge,194
Tomate ronde,199
Tomate ronde grappe,198
Baguette,850
Baguette céréales,1008
Baguette d'exeption,1006
Demi baguette rustique,895
Baguette rustique,857
Beignet chocolat,381
Beignet Pomme,912
Chausson aux pommes,890
20 chouquettes,889
Cookie chocolat au lait,875
Croissant,320
Croissant aux amandes,564
Donut au chocolat,891
Donut au sucre,366
Fozza crème lardons,505
Mini beignet au chocolat,900
Pain 400g,878
Pain choco crème,202
Pain complet,888
Pain aux raisins,347
Pain au seigle,882
Pavé céréales,852
Pavé aux figues,989
Pavé Label Rouge,1017
Pavé rustique,1009
Pastéis de nata,897
Petit pain céréales,1004
Tarte au sucre,881
Torsade chocolat,991
Sac de litière chat,370
Oranges Sanguines BOX,123
Fraises 900g,222
Blette,404
Bouteille d'eau 1.5L,2
Bouteille d'eau 2L,1
Framboises 125g,74
Sucrines 3pcs,153
Mini viennoiseries,555
Lait Patron,334
Endives 1kg,154
Pomme de terre 5kg,146
Abricot,80
Evian,953
Bananes BIO,26
Ananas,20
